family,scientificNameWithoutAuthorship,scientificNameAuthorship,assessment,category,criteria,assessor,evaluator,rationale
BIGNONIACEAE,"Jacaranda racemosa",Cham.,comments,LC,,Raquel,"Luiz Santos","Espécie descrita em 1832, endêmica da Cadeia do Espinhaço (Bittencourt Jr., 2003), com ocorrência no estado de Minas Gerais, (Lohmann, 2009; 2013) nos municípios de Diamantina, Santana do Riacho, Couto Magalhães, Santa Luzia, Serro, Datas e Jaboticatubas, encontrada entre 1.100 e 1.300 m de altitude (Gentry, 1992). Caracterizada por subarbustos xilopodiais de até 0,5 m de altura, é exclusiva dos Campos Rupestres abertos com solo arenoso da Serra do Cipó e Serra do Espinhaço (Gentry, 1992). Em amostragem realizada no Parque Nacional da Serra da Canastra (MG) foram quantificados 128 ind./ha (Santana et al., 2011). Apesar de apresentar EOO e AOO relativamente pequenas, a espécie é localmente abundante, está sujeita a mais de 10 situações de ameaça e ocorre em Unidade de Conservação. Entretanto, recomenda-se atenção e controle das ameaças incidentes como a invasão de gramíneas exóticas na Serra do Cipó usadas na formação de pastagem, a pecuária, o aumento da frequência de incêndios associado a invasão de espécies exóticas (Ribeiro et al., 2005) e a intensa atividade mineradora desde tempos pretéritos (Silva et al., 2008) na região da Cadeia do Espinhaço que podem implicar a curto prazo na redução de EOO, AOO da qualidade do hábitat e do número de subpopulações."
BIGNONIACEAE,"Lundia damazii",DC.,comments,VU,A4b,Raquel,"Luiz Santos","Espécie descrita em 1905, caracterizada como liana (Lohmann & Silva-Castro, 2009), heliófita, é encontrada em locais úmidos e em matas secundárias (CNCFlora, 2013). É considerada endêmica do quadrilátero ferrífero do estado de Minas Gerais (Carmo, 2010), mas tem registros para o estado do Rio de Janeiro, nos municípios de Petrópolis, Resende, Teresópolis e Rio de janeiro, e nos estados do Espírito Santo e São Paulo (Lohmann; CNCFlora, 2013). Apresenta grande EOO de 78.581 km² porém, no estado do Rio de Janeiro, os registros são antigos, indicando um possível declínio da EOO, AOO e do número de subpopulações na região em decorrência da expansão urbana na capital e nos municípios da região serrana fluminense (Davidovich, 2001). Ademais, a mineração na região do Quadrilátero Ferrífero, que alcança a maior produção mineral do estado realizada a céu-aberto, a consequente supressão da vegetação e a destruição dos substratos implicam ameaças à espécie (Spier et al., 2003; Curi et al., 2008) também havendo declínio contínuo da EOO, AOO e do número de subpopulações. Suspeita-se da redução de até 30% da população no passado frente às causas não cessadas e irreversíveis."
BROMELIACEAE,"Alcantarea burle-marxii","(Leme) J.R.Grant",comments,DD,,"Rodrigo Amaro","Luiz Santos","Espécie herbácea, rupícula, de ocorrência em afloramentos graníticos (Inselbergs) dos domínios Cerrado e Mata Atlântica, em áreas de transição com Caatinga (Wanderley et al. 2009; Forzza et al., 2013; Forzza com. pess.). Endêmica do estado de Minas Gerais, onde foi coletada no município de Pedra Azul, em altitudes entre 620 e 1.000 m (Wanderley et al. 2009; CNCFlora 2013). Suspeita-se que a espécie sofra com a perda da qualidade do habitat, além do declínio de EOO e AOO, em função da existência de ameaças em sua área de ocorrência, como a invasão de espécies exóticas, o aumento da incidência de fogo e o pastoreio, principalmente de caprinos, nos Inselbergues (Forzza com. pess.). São necessárias maiores informações sobre a espécie, bem como o aumento do esforço amostral, a fim de se conhecer o real estado de conservação na natureza."
BROMELIACEAE,"Alcantarea hatschbachii","(L.B.Sm. & Read) Leme",comments,DD,,"Rodrigo Amaro","Luiz Santos","Erva endêmica do estado de Minas Gerais (Forzza et al. 2013). Encontrada em Campos Rupestres (Wanderley et al. 2009), próxima a cursos d´água (Forzza com. pess.). Espécie conhecida apenas pelas ocorrências nos municípios de Gouveia (Wanderley et al. 2009) e Congonhas do Norte, na porção norte da Serra do Cipó (Coffani-Nunes et al. 2010). O registro em Congonhas do Norte é de extrema importância uma vez que a espécie era considerada extinta por alguns autores (Coffani-Nunes et al. 2010). Não foi encontrada no interior do Parque Nacional, porém não sofre declínio na qualidade do habitat na região de ocorrência na Serra do Cipó, por ocorrer em uma área remota e de difícil acesso (Forzza com. pess.). Dessa forma, é necessário o aumento do esforço amostral da espécie na região, a fim de se conhecer o real estado de conservação da espécie na natureza. "
BROMELIACEAE,"Cryptanthus leopoldo-horstii",Rauh,comments,DD,,"Rodrigo Amaro","Luiz Santos","Espécie endêmica do estado de Minas Gerais (Forzza et al. 2013), restrita aos municípios de Diamantina e Gouveia (Wanderley et al. 2009). Erva acaulescente de ocorrência no Cerrado, se desenvolve em Campos Rupestres do Planalto de Diamantina, em altitudes superiores a 1.000 m, em fendas de rochas ou sobre cupinzeiros (Wanderley et al. 2009). Possui EOO menor que 5.000 km² e AOO inferior a 500 km² e está sujeita a menos de cinco situações de ameaça, considerando suas localidades de ocorrência. Suspeita-se que a espécie sofra com perda da qualidade do habitat, além do declínio de EOO e AOO, em decorrência do extrativismo de diversas espécies vegetais, o que vêm descaracterizando a região do Planalto da Diamantina, além do avanço das culturas agrícolas e pecuaristas (Sano et al. 2010)."
BROMELIACEAE,"Dyckia argentea",Mez,comments,EN,"B1ab(i,ii,iii)+2ab(i,ii,iii)","Rodrigo Amaro","Luiz Santos","Espécie endêmica do estado de Minas Gerais (Forzza et al. 2013), restrita do município de Tiradentes, na Serra de São José (Wanderley et al. 2009), em altitudes entre 1.300 e 1.400 m (Wanderley et al. 2009). Erva rupícola de ocorrência no domínio Cerrado em Campo Rupestre (Wanderley et al. 2009; Forzza et al. 2013) e no domínio Mata Atlântica em Campos de Altitude (Forzza com. pess.). Possui EOO menor que 5.000 km² e AOO inferior a 500 km² e está sujeita a menos de cinco situações de ameaça, em decorrência das localidades de ocorrência. Suspeita-se que a espécie sofra com a perda da qualidade do habitat, além do declínio contínuo da EOO e AOO, em consequência da incidência de atividades de grande impacto como a agricultura e pecuária (Sano et al. 2010)."
BROMELIACEAE,"Dyckia brachyphylla",L.B.Sm.,comments,EN,"B1ab(i,ii,iii)+2ab(i,ii,iii)","Rodrigo Amaro","Luiz Santos","Endêmica do estado de Minas Gerais (Forzza et al. 2013), municípios de Diamantina (Wanderley et al. 2009), Serro e Itacambira (CNCFlora 2013). Erva terrícola ou rupícola, de ocorrência restrita ao Cerrado, em áreas de Campos Rupestres (Forzza et al. 2013). Possui EOO menor que 5.000 km² e AOO inferior a 500 km² e está sujeita a menos de cinco situações de ameaça, considerando suas localidades de ocorrência. Suspeita-se que a espécie sofra com a perda da qualidade do habitat e declínio contínuo da EOO e AOO, em decorrência do intenso extrativismo na região do Planalto de Diamantina, além do avanço agropecuário e turismo (Sano et al. 2010). "
BROMELIACEAE,"Dyckia bracteata","(Wittm.) Mez",comments,LC,,"Rodrigo Amaro","Luiz Santos","Erva rupícola ou terrícola, de ocorrência predominante no domínio Mata Atlântica (Forzza com. pess.). No Cerrado (Forzza et al. 2013) é encontrada em Campos de Altitude e Campos Rupestres (Wanderley et al. 2009) de regiões de transição da Mata Atlântica com o Cerrado (Forzza com. pess.). A distribuição da espécie abrange os estados do Espirito Santo e Minas Gerais (Forzza et al. 2013), sendo coletada no município de Ouro Branco, na Serra de Ouro Branco (Wanderley et al. 2009), e no município de Campos Altos, no Parque Nacional do Caparaó (CNCFlora 2013). Ocorre em altitudes entre 1.000 e 2.500 m (Wanderley et al. 2009). Apesar de presente em áreas com ameaças incidentes como o avanço agropecuário e o turismo, a espécie apresenta ampla distribuição (EOO maior que 50.000 km²) e é bem amostrada em coleções botânicas. Desta forma, ainda não há preocupações quanto a sua manutenção na natureza."
BROMELIACEAE,"Dyckia densiflora","Schult. & Schult.f.",comments,DD,,"Rodrigo Amaro","Luiz Santos","Espécie endêmica do estado de Minas Gerais (Forzza et al. 2013), ocorre no município de Ouro Preto, na Serra do Capanema (CNCFlora 2013), onde foi coletada em altitudes entre 1.000 e 1.800 m (Wanderley et al. 2009). Erva rupícola de ocorrência em Cerrado e Mata Atlântica (Souza & Lorenzi 2008; Forzza et al. 2013), se desenvolve em Campos Rupestres (Wanderley et al. 2009). São necessárias maiores informações sobre a espécie, a fim de se determinar seu estado de conservação."
BROMELIACEAE,"Dyckia elongata",Mez,comments,DD,,"Rodrigo Amaro","Luiz Santos","Espécie endêmica do estado da Bahia (Forzza et al. 2013), onde foi coletada no município de Milagres (Wanderley et al. 2009). Não existem informações necessárias para a avaliação do risco de extinção da espécie."
BROMELIACEAE,"Dyckia mello-barretoi",L.B.Sm.,comments,DD,,"Rodrigo Amaro","Luiz Santos","Espécie endêmica do estado de Minas Gerais (Forzza et al. 2013). Restrita ao Cerrado, onde se desenvolve em Campos Rupestres (Wanderley et al. 2009). São necessárias maiores informações sobre a biologia e ecologia da espécie a fim de avaliar o real estado de conservação na natureza."
BROMELIACEAE,"Dyckia pectinata","L.B.Sm. & Reitz",comments,EN,"B1ab(i,ii,iii)+2ab(i,ii,iii)","Rodrigo Amaro","Luiz Santos","Espécie exclusiva do Cerrado, é endêmica do estado de Minas Gerais (Forzza et al. 2013), onde ocorre no município de Ouro Preto, na Serra de Ouro Preto (CNCFlora 2013). Existem registros para o município de Conceição do Rio Verde, em altitudes entre 880 e 950 m (Wanderley et al. 2009), porém com necessidades de maiores estudos (Forzza com. pess.). Possui EOO menor que 5.000 km² e AOO inferior a 500km² e está sujeita a menos de cinco situações de ameaça, em decorrência de suas localidades de ocorrência. Suspeita-se que a espécie sofra com a perda da qualidade do habitat, além do declínio contínuo de EOO e AOO, em consequência direta ou indireta de atividades realizadas na região, como a pecuária, agricultura e o turismo (Sano et al. 2010)."
BROMELIACEAE,"Encholirium reflexum","Forzza & Wand.",comments,DD,,"Rodrigo Amaro","Luiz Santos","Espécie endêmica do estado de Minas Gerais (Forzza et al. 2013), onde foi coletada no norte da porção mineira da Cadeia do Espinhaço, no município de Pardo de Minas, na Serra do Deus-Me-Livre (Wanderley et al. 2009). Erva rupícola, é de ocorrência restrita ao Cerrado (Forzza et al. 2013), onde se desenvolve em Campos Rupestres diretamente sobre a rocha (Wanderley et al. 2009). São necessárias maiores informações sobre a distribuição geográfica para fundamentar a avaliação do real estado de conservação da espécie na natureza."
BROMELIACEAE,"Lapanthus itambensis","(Versieux & Leme) Louzada & Versieux",comments,DD,,"Rodrigo Amaro","Luiz Santos","Erva rupícola de ocorrência restrita aos Campos Rupestres associados ao Cerrado do estado de Minas Gerais (Forzza et al. 2013), onde foi coletada no município de Santo Antônio do Itambé, no Parque Estadual do Pico do Itambé (Wanderley et al. 2009). São necessárias maiores informações acerca da biologia e ecologia da espécie a fim de se conhecer o real estado de conservação na natureza."
BROMELIACEAE,"Orthophytum mello-barretoi",L.B.Sm.,comments,VU,"B1ab(i,ii,iii)","Rodrigo Amaro","Luiz Santos","Espécie endêmica do estado de Minas Gerais (Forzza et al. 2013), de ocorrência predominante na Serra do Cipó (Forzza com. pess.). Existem registros de coletas também nos municípios de Diamantina, São Gonçalo do Rio Preto (Parque Estadual do Rio Preto), Grão Mongol, Morro do Chapéu e Mucugê (Parque Municipal Sempre-Viva) (Wanderley et al. 2009; CNCFlora 2013). Porém, são necessários maiores estudos para a determinação da distribuição exata da espécie (Forzza com. pess.). Caracterizada por ervas rupícolas ou saxícolas, é encontrada em Cerrado e Caatinga, em áreas de Campos Rupestres, sobre paredões rochosos às margens de córregos e cachoeiras (Wanderley et al. 2009; CNCFlora 2013). Possui EOO estimado em 8.298,84 km² e está sujeita a menos de dez situações de ameaça, considerando as localidades de ocorrência. Apesar de ocorrer no Parque Nacional da Serra do Cipó (CNCFlora 2013), suspeita-se que a espécie sofra com a perda da qualidade do habitat, além do declínio contínuo de EOO e AOO, em consequência da incidência de ameaças na sua área de ocorrência como o fogo, a agropecuária e o turismo desordenado (Schober 2002; MMA/ICMBio 2009). "
BROMELIACEAE,"Orthophytum schulzianum","Leme & M.Machado",comments,EN,"B1ab(i,ii,iii)+2ab(i,ii,iii)","Rodrigo Amaro","Luiz Santos","Espécie endêmica dos Campos Rupestres associados ao Cerrado do estado de Minas Gerais (Forzza et al. 2013), onde ocorre no Planalto da Diamantina, nos municípios de Diamanatina, São Gonçalo do Rio Preto (Parque Estadual do Rio Preto) e Chapada do Couto (Wanderley et al. 2009). Possui EOO menor que 5.000 km² e AOO inferior a 500 km² e está sujeita a menos de cinco situações de ameaça, considerando as localidades de ocorrência. Apesar de ocorrer no Parque Estadual do Rio Preto (CNCFlora 2013), suspeita-se que a espécie sofra coma a perda da qualidade do habitat, além de declínio contínuo da EOO e AOO, em consequência das ameaças incidentes a sua área de ocorrência, como o aumento do regime de incêndios, extrativismo (Wanderley et al. 2009), poluição (Azevedo & Araújo 2011), agricultura e pecuária (Sano et al. 2010)."
